Time,Height
0,1.323
0.010416667,1.319
0.020833333,1.314
0.03125,1.31
0.041666667,1.307
0.052083333,1.302
0.0625,1.296
0.072916667,1.294
0.083333333,1.286
0.09375,1.281
0.104166667,1.273
0.114583333,1.268
0.125,1.263
0.135416667,1.257
0.145833333,1.251
0.15625,1.245
0.166666667,1.237
0.177083333,1.229
0.1875,1.227
0.197916667,1.222
0.208333333,1.215
0.21875,1.209
0.229166667,1.205
0.239583333,1.202
0.25,1.198
0.260416667,1.189
0.270833333,1.187
0.28125,1.181
0.291666667,1.18
0.302083333,1.177
0.3125,1.174
0.322916667,1.171
0.333333333,1.167
0.34375,1.165
0.354166667,1.163
0.364583333,1.16
0.375,1.158
0.385416667,1.156
0.395833333,1.154
0.40625,1.153
0.416666667,1.147
0.427083333,1.146
0.4375,1.145
0.447916667,1.14
0.458333333,1.134
0.46875,1.134
0.479166667,1.132
0.489583333,1.13
0.5,1.13
0.510416667,1.129
0.520833333,1.126
0.53125,1.127
0.541666667,1.128
0.552083333,1.134
0.5625,1.132
0.572916667,1.133
0.583333333,1.133
0.59375,1.135
0.604166667,1.144
0.614583333,1.151
0.625,1.156
0.635416667,1.164
0.645833333,1.173
0.65625,1.19
0.666666667,1.217
0.677083333,1.261
0.6875,1.309
0.697916667,1.366
0.708333333,1.431
0.71875,1.506
0.729166667,1.598
0.739583333,1.655
0.75,1.717
0.760416667,1.797
0.770833333,1.884
0.78125,1.971
0.791666667,2.072
0.802083333,2.171
0.8125,2.27
0.822916667,2.348
0.833333333,2.423
0.84375,2.492
0.854166667,2.543
0.864583333,2.596
0.875,2.642
0.885416667,2.708
0.895833333,2.765
0.90625,2.831
0.916666667,2.899
0.927083333,2.955
0.9375,3.011
0.947916667,3.071
0.958333333,3.125
0.96875,3.161
0.979166667,3.215
0.989583333,3.24
1,3.271
1.010416667,3.291
1.020833333,3.301
1.03125,3.325
1.041666667,3.348
1.052083333,3.368
1.0625,3.38
1.072916667,3.399
1.083333333,3.399
1.09375,3.414
1.104166667,3.422
1.114583333,3.425
1.125,3.426
1.135416667,3.426
1.145833333,3.424
1.15625,3.426
1.166666667,3.429
1.177083333,3.435
1.1875,3.431
1.197916667,3.433
1.208333333,3.452
1.21875,3.465
1.229166667,3.479
1.239583333,3.494
1.25,3.52
1.260416667,3.535
1.270833333,3.556
1.28125,3.557
1.291666667,3.576
1.302083333,3.591
1.3125,3.607
1.322916667,3.617
1.333333333,3.642
1.34375,3.661
1.354166667,3.711
1.364583333,3.745
1.375,3.762
1.385416667,3.784
1.395833333,3.807
1.40625,3.834
1.416666667,3.864
1.427083333,3.905
1.4375,3.947
1.447916667,3.977
1.458333333,4.009
1.46875,4.048
1.479166667,4.077
1.489583333,4.107
1.5,4.127
1.510416667,4.16
1.520833333,4.191
1.53125,4.223
1.541666667,4.246
1.552083333,4.273
1.5625,4.3
1.572916667,4.321
1.583333333,4.35
1.59375,4.371
1.604166667,4.397
1.614583333,4.435
1.625,4.475
1.635416667,4.511
1.645833333,4.546
1.65625,4.575
1.666666667,4.609
1.677083333,4.63
1.6875,4.651
1.697916667,4.681
1.708333333,4.703
1.71875,4.728
1.729166667,4.75
1.739583333,4.765
1.75,4.785
1.760416667,4.807
1.770833333,4.82
1.78125,4.838
1.791666667,4.862
1.802083333,4.888
1.8125,4.902
1.822916667,4.906
1.833333333,4.923
1.84375,4.931
1.854166667,4.944
1.864583333,4.964
1.875,4.987
1.885416667,5.003
1.895833333,5.021
1.90625,5.035
1.916666667,5.053
1.927083333,5.095
1.9375,5.108
1.947916667,5.123
1.958333333,5.139
1.96875,5.151
1.979166667,5.155
1.989583333,5.171
2,5.183
2.010416667,5.186
2.020833333,5.19
2.03125,5.21
2.041666667,5.212
2.052083333,5.216
2.0625,5.21
2.072916667,5.21
2.083333333,5.209
2.09375,5.217
2.104166667,5.21
2.114583333,5.209
2.125,5.211
2.135416667,5.205
2.145833333,5.199
2.15625,5.195
2.166666667,5.188
2.177083333,5.184
2.1875,5.175
2.197916667,5.171
2.208333333,5.165
2.21875,5.155
2.229166667,5.152
2.239583333,5.154
2.25,5.151
2.260416667,5.135
2.270833333,5.128
2.28125,5.128
2.291666667,5.115
2.302083333,5.105
2.3125,5.108
2.322916667,5.094
2.333333333,5.084
2.34375,5.075
2.354166667,5.063
2.364583333,5.051
2.375,5.035
2.385416667,5.024
2.395833333,5.008
2.40625,4.991
2.416666667,4.976
2.427083333,4.958
2.4375,4.94
2.447916667,4.92
2.458333333,4.899
2.46875,4.881
2.479166667,4.845
2.489583333,4.827
2.5,4.802
2.510416667,4.772
2.520833333,4.743
2.53125,4.714
2.541666667,4.679
2.552083333,4.656
2.5625,4.625
2.572916667,4.596
2.583333333,4.559
2.59375,4.528
2.604166667,4.501
2.614583333,4.474
2.625,4.429
2.635416667,4.393
2.645833333,4.355
2.65625,4.317
2.666666667,4.279
2.677083333,4.236
2.6875,4.199
2.697916667,4.149
2.708333333,4.112
2.71875,4.072
2.729166667,4.024
2.739583333,3.985
2.75,3.934
2.760416667,3.892
2.770833333,3.852
2.78125,3.801
2.791666667,3.755
2.802083333,3.716
2.8125,3.678
2.822916667,3.631
2.833333333,3.596
2.84375,3.551
2.854166667,3.509
2.864583333,3.475
2.875,3.441
2.885416667,3.411
2.895833333,3.375
2.90625,3.348
2.916666667,3.313
2.927083333,3.274
