date,min_level,avg_level,max_level
2012-11-26,1.970,2.010,2.130
2012-11-27,1.880,1.900,1.920
2012-11-28,1.450,1.500,1.540
2012-11-29,1.270,1.280,1.280
2012-11-30,1.140,1.150,1.150
2012-12-01,1.060,1.060,1.060
2012-12-02,0.950,0.960,0.990
2012-12-03,1.080,1.120,1.160
2012-12-04,1.110,1.180,1.300
2012-12-05,1.370,1.450,1.500
2012-12-06,1.140,1.150,1.160
2012-12-07,1.450,1.550,1.710
2012-12-08,1.110,1.120,1.120
2012-12-09,1.010,1.020,1.020
2012-12-10,1.030,1.040,1.040
2012-12-11,0.930,0.930,0.930
2012-12-12,0.860,0.870,0.870
2012-12-13,0.820,0.830,0.830
2012-12-14,0.810,1.030,1.480
2012-12-15,1.260,1.350,1.450
2012-12-19,1.140,1.310,1.370
2012-12-20,1.370,2.300,3.000
2012-12-21,1.680,2.060,2.540
2012-12-22,1.680,2.950,3.580
2012-12-23,2.210,3.070,3.350
2012-12-24,1.830,1.940,2.130
2012-12-25,1.670,1.720,1.740
2012-12-26,1.730,1.730,1.730
2012-12-27,1.620,1.620,1.620
2012-12-28,1.430,1.480,1.590
2012-12-29,1.420,1.890,2.490
2012-12-30,1.790,2.080,2.200
2012-12-31,1.550,1.790,2.250
2013-01-01,1.450,1.640,1.750
2013-01-02,1.380,1.390,1.400
2013-01-03,1.330,1.340,1.350
2013-01-04,1.200,1.210,1.220
2013-01-05,1.090,1.100,1.100
2013-01-06,1.020,1.020,1.020
2013-01-07,0.970,0.970,0.970
2013-01-08,0.920,0.920,0.920
2013-01-09,0.860,0.860,0.860
2013-01-10,0.820,0.820,0.820
2013-01-11,0.980,1.000,1.020
2013-01-12,0.850,0.970,1.070
2013-01-13,0.960,0.970,0.980
2013-01-14,0.830,0.830,0.830
2013-01-15,1.110,1.130,1.150
2013-01-16,0.960,0.970,0.970
2013-01-17,0.900,0.900,0.900
2013-01-18,0.880,0.900,0.920
2013-01-19,1.120,1.190,1.230
2013-01-20,0.960,0.970,0.970
2013-01-21,0.910,0.910,0.910
2013-01-22,0.890,1.020,1.320
2013-01-23,1.200,1.260,1.310
2013-01-24,0.930,0.930,0.930
2013-01-25,0.860,0.960,1.170
2013-01-26,1.200,1.410,1.970
2013-01-27,1.200,1.360,1.610
2013-01-28,1.230,1.340,1.520
2013-01-29,1.530,1.780,1.960
2013-01-30,1.870,2.300,2.540
2013-01-31,1.450,1.540,1.620
2013-02-01,1.360,1.500,1.710
2013-02-02,1.330,1.350,1.360
2013-02-03,1.140,1.150,1.150
2013-02-04,1.250,1.260,1.270
2013-02-05,1.080,1.140,1.250
2013-02-06,1.140,1.150,1.160
2013-02-07,0.990,1.010,1.020
2013-02-08,1.440,1.470,1.500
2013-02-09,1.130,1.150,1.160
2013-02-10,1.030,1.290,1.730
2013-02-11,1.450,1.540,1.630
2013-02-12,1.120,1.130,1.140
2013-02-13,1.020,1.030,1.030
2013-02-14,1.100,1.370,1.920
2013-02-15,1.290,1.310,1.330
2013-02-16,1.050,1.060,1.060
2013-02-17,0.980,0.990,0.990
2013-02-18,0.920,0.930,0.930
2013-02-19,0.860,0.870,0.870
2013-02-20,0.820,0.820,0.820
2013-02-21,0.780,0.790,0.790
2013-02-22,0.750,0.750,0.750
2013-02-23,0.710,0.720,0.720
2013-02-24,0.690,0.690,0.690
2013-02-25,0.670,0.670,0.670
2013-02-26,0.650,0.650,0.650
2013-02-27,0.630,0.630,0.630
2013-02-28,0.620,0.620,0.620
2013-03-01,0.580,0.580,0.580
2013-03-02,0.560,0.560,0.560
2013-03-03,0.550,0.550,0.550
2013-03-04,0.540,0.540,0.540
2013-03-05,0.530,0.530,0.530
2013-03-06,0.520,0.520,0.520
2013-03-07,0.520,0.520,0.520
2013-03-08,0.550,0.550,0.550
2013-03-09,0.530,0.530,0.530
2013-03-10,0.510,0.510,0.510
2013-03-11,0.540,0.540,0.540
2013-03-12,0.490,0.500,0.500
2013-03-13,0.480,0.480,0.480
2013-03-14,0.480,0.480,0.480
2013-03-15,0.470,0.500,0.540
2013-03-16,0.570,1.430,3.910
2013-03-17,0.840,1.070,1.240
2013-03-18,0.790,0.800,0.800
2013-03-19,0.700,0.710,0.710
2013-03-20,0.670,0.730,0.770
2013-03-21,0.650,0.700,0.910
2013-03-22,0.970,1.790,2.200
2013-03-23,1.460,1.660,1.820
2013-03-24,1.150,1.160,1.170
2013-03-25,0.970,0.990,1.000
2013-03-26,0.890,0.900,0.900
2013-03-27,0.830,0.830,0.830
2013-03-28,0.770,0.770,0.770
2013-03-29,0.730,0.730,0.730
2013-03-30,0.690,0.690,0.690
2013-03-31,0.650,0.650,0.650
2013-04-01,0.630,0.630,0.630
2013-04-02,0.600,0.600,0.600
2013-04-03,0.580,0.580,0.580
2013-04-04,0.560,0.560,0.560
2013-04-05,0.540,0.550,0.550
2013-04-06,0.530,0.530,0.530
2013-04-07,0.520,0.520,0.520
2013-04-08,0.510,0.510,0.510
2013-04-09,0.510,0.510,0.510
2013-04-10,0.500,0.500,0.510
2013-04-11,0.500,0.500,0.500
2013-04-12,0.530,0.600,0.720
2013-04-13,0.570,0.590,0.610
2013-04-14,0.630,0.650,0.670
2013-04-15,0.570,0.600,0.620
2013-04-16,0.550,0.550,0.550
2013-04-17,0.530,0.540,0.540
2013-04-18,0.520,0.530,0.530
2013-04-19,0.500,0.500,0.500
2013-04-20,0.490,0.490,0.490
2013-04-21,0.490,0.490,0.490
2013-04-22,0.490,0.500,0.500
2013-04-23,0.500,0.500,0.500
2013-04-24,0.480,0.490,0.490
2013-04-25,0.480,0.480,0.480
2013-04-26,0.480,0.480,0.480
2013-04-27,0.470,0.470,0.470
2013-04-28,0.450,0.460,0.460
2013-04-29,0.450,0.450,0.450
2013-04-30,0.440,0.450,0.450
2013-05-01,0.420,0.430,0.440
2013-05-02,0.410,0.410,0.410
2013-05-03,0.410,0.410,0.410
2013-05-04,0.400,0.410,0.410
2013-05-05,0.410,0.410,0.410
2013-05-06,0.400,0.400,0.400
2013-05-07,0.400,0.400,0.400
2013-05-08,0.410,0.420,0.440
2013-05-09,0.410,0.410,0.420
2013-05-10,0.430,0.440,0.450
2013-05-11,0.430,0.440,0.440
2013-05-12,0.500,0.510,0.520
2013-05-13,0.430,0.430,0.430
2013-05-14,0.420,0.590,1.050
2013-05-15,1.120,1.580,1.970
2013-05-16,0.750,0.890,0.990
2013-05-17,0.710,0.790,0.860
2013-05-18,0.650,0.660,0.660
2013-05-19,0.590,0.590,0.590
2013-05-20,0.550,0.550,0.550
2013-05-21,0.530,0.530,0.530
2013-05-22,0.510,0.510,0.510
2013-05-23,0.490,0.490,0.490
2013-05-24,0.470,0.470,0.480
2013-05-25,0.460,0.460,0.460
2013-05-26,0.440,0.450,0.450
2013-05-27,0.440,0.450,0.460
2013-05-28,0.570,0.590,0.610
2013-05-29,0.510,0.520,0.520
2013-05-30,0.490,0.490,0.490
